representation,anchor_a,anchor_b,parallel_branch_index,dense_length_mm,length_mm,absolute_length_error_mm,absolute_arc_chord_tortuosity_error,reference_samples,representation_samples,subject,stratum
adaptive,8,9,0,7.514544553157358,6.014813256920368,1.4997312962369902,0.24933962737936516,32,26,topcow_ct_005,TopBrain-CT
adaptive,9,10,0,3.4049290411952224,2.91549688223337,0.48943215896185244,0.16787264014733938,15,13,topcow_ct_005,TopBrain-CT
adaptive,9,11,0,31.019161927064186,25.559510789124815,5.459651137939371,0.5443341229917943,126,104,topcow_ct_005,TopBrain-CT
adaptive,10,13,0,12.212830544904172,9.562232337531805,2.650598207372367,0.3286661137781621,50,40,topcow_ct_005,TopBrain-CT
adaptive,10,79,0,62.53178095233296,52.68199962727831,9.84978132505465,0.342059472915752,252,212,topcow_ct_005,TopBrain-CT
adaptive,11,13,0,9.87899217489895,8.846547973483712,1.0324442014152382,0.13830907732895917,41,37,topcow_ct_005,TopBrain-CT
adaptive,12,13,0,30.32936538053935,24.22897048969733,6.100394890842022,0.27955993919757166,123,98,topcow_ct_005,TopBrain-CT
adaptive,12,15,0,5.917425953495961,5.190281868926412,0.7271440845695487,0.14009722456941542,25,22,topcow_ct_005,TopBrain-CT
adaptive,13,85,0,12.54867008425532,9.772303916207736,2.776366168047584,0.3209638933696721,52,41,topcow_ct_005,TopBrain-CT
adaptive,14,20,0,33.10699937044208,28.022018933714534,5.084980436727548,0.23192571880888824,134,114,topcow_ct_005,TopBrain-CT
adaptive,14,84,0,3.3127405119621356,2.5253838275720586,0.787356684390077,0.31177703594746364,15,12,topcow_ct_005,TopBrain-CT
adaptive,15,16,0,4.133442973711283,3.414177614993333,0.7192653587179496,0.24007036028372028,18,15,topcow_ct_005,TopBrain-CT
adaptive,15,19,0,2.531835754508883,2.165655438097783,0.36618031641109994,0.16908521548226374,12,10,topcow_ct_005,TopBrain-CT
adaptive,16,18,0,2.8857396487740905,2.6878316633319446,0.19790798544214594,0.07404519048176557,13,12,topcow_ct_005,TopBrain-CT
adaptive,16,19,0,4.460398088463841,3.1649446483135346,1.2954534401503066,0.4846802746331258,19,14,topcow_ct_005,TopBrain-CT
adaptive,17,18,0,1.899998970766913,1.620580679349612,0.2794182914173009,0.17241862437199973,9,8,topcow_ct_005,TopBrain-CT
adaptive,17,20,0,3.2889130502129884,3.0052139749369347,0.28369907527605376,0.09440228803741246,15,14,topcow_ct_005,TopBrain-CT
adaptive,18,22,0,6.218939022823976,5.09434675678222,1.1245922660417564,0.23122870761668965,26,22,topcow_ct_005,TopBrain-CT
adaptive,19,21,0,3.1191389325160603,2.9006687840102066,0.21847014850585378,0.07531716468635084,14,13,topcow_ct_005,TopBrain-CT
adaptive,20,22,0,16.643050686504566,13.477751464211623,3.1652992222929424,0.4655635877554042,68,55,topcow_ct_005,TopBrain-CT
adaptive,21,22,0,1.69042714877409,1.6904271487740903,2.220446049250313e-16,1.313541403343289e-16,8,8,topcow_ct_005,TopBrain-CT
adaptive,21,23,0,2.7254373339549582,2.669509643788771,0.05592769016618737,0.020950548088978074,12,12,topcow_ct_005,TopBrain-CT
